Address,Type,Sorce,届出番号など,住宅宿泊施設名,Address Data
大田区千鳥二丁目２番８－102・103・105・201～203・205・301～303・305号,特区民泊,千鳥二丁目２番８－102・103・105・201～203・205・301～303・305号,47 M‐1 Tokyo 千鳥,,大田区千鳥二丁目２番８－102・103・105・201～203・205・301～303・305号
大田区千鳥二丁目６番13号（１階）,特区民泊,千鳥二丁目６番13号（１階）,48 Enjoy locallife in Tokyo ,,大田区千鳥二丁目６番13号（１階）
大田区千鳥三丁目13番12－101・102・201～205・301～305・401～405・501～505・601～605・701～705・801～803号,特区民泊,千鳥三丁目13番12－101・102・201～205・301～305・401～405・501～505・601～605・701～705・801～803号,49 ヴォーガコルテ千鳥町,,大田区千鳥三丁目13番12－101・102・201～205・301～305・401～405・501～505・601～605・701～705・801～803号
大田区久が原一丁目２番16－101～103・105～108・110・111・201～203・205～208・210・211・301～303・305～308・310・311号,特区民泊,久が原一丁目２番16－101～103・105～108・110・111・201～203・205～208・210・211・301～303・305～308・310・311号,50 M-1 Tokyo 久が原,,大田区久が原一丁目２番16－101～103・105～108・110・111・201～203・205～208・210・211・301～303・305～308・310・311号
大田区久が原三丁目30番11－201・202・203号,特区民泊,久が原三丁目30番11－201・202・203号,51 東京秘密基地,,大田区久が原三丁目30番11－201・202・203号
大田区久が原三丁目30番11－103号,特区民泊,久が原三丁目30番11－103号,52 久が原３丁目コーポ第３ ,,大田区久が原三丁目30番11－103号
大田区北千束一丁目56番９号２号室,特区民泊,北千束一丁目56番９号２号室,53 コミチテラス大岡山２号室,,大田区北千束一丁目56番９号２号室
大田区仲池上二丁目19番19号（１階）,特区民泊,仲池上二丁目19番19号（１階）,54 川田邸,,大田区仲池上二丁目19番19号（１階）
大田区東雪谷二丁目８番２－201～205・301～305・401～405・501～505・601～604・701～704・801号,特区民泊,東雪谷二丁目８番２－201～205・301～305・401～405・501～505・601～604・701～704・801号,55 AXAS STAY石川台,,大田区東雪谷二丁目８番２－201～205・301～305・401～405・501～505・601～604・701～704・801号
大田区東糀谷二丁目８番13－101～103・105・201～203・205・301～303・305号,特区民泊,東糀谷二丁目８番13－101～103・105・201～203・205・301～303・305号,56 M‐1 Tokyo 東糀谷,,大田区東糀谷二丁目８番13－101～103・105・201～203・205・301～303・305号
